2019-05-07 13:12:40,589 - INFO - market_maker - run_loop - MarketReport -{'last': 5898.0, 'buy': 5898.0, 'sell': 5898.5, 'mid': 5898.0, 'tickLog': 1, 'pos': -380, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5898.0, 'last_aft': 5898.0, 'atr': 5.0, 'sma': 5894.775}
2019-05-07 13:13:20,671 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -520, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5900.0, 'last_aft': 5900.0, 'atr': 5.0, 'sma': 5894.8}
2019-05-07 13:13:31,006 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.5, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -520, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.0, 'sma': 5894.8}
2019-05-07 13:13:40,602 - INFO - market_maker - run_loop - MarketReport -{'last': 5900.0, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -520, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.0, 'sma': 5894.8}
2019-05-07 13:13:50,731 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.5, 'buy': 5899.5, 'sell': 5900.0, 'mid': 5900.0, 'tickLog': 1, 'pos': -360, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 5.0, 'sma': 5894.8}
2019-05-07 13:14:00,768 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.0, 'buy': 5899.0, 'sell': 5899.5, 'mid': 5899.0, 'tickLog': 1, 'pos': -140, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 4.975, 'sma': 5894.925}
2019-05-07 13:14:11,151 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.0, 'buy': 5899.0, 'sell': 5899.5, 'mid': 5899.0, 'tickLog': 1, 'pos': -140, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.5, 'last_aft': 5899.5, 'atr': 4.975, 'sma': 5894.925}
2019-05-07 13:14:20,635 - INFO - market_maker - run_loop - MarketReport -{'last': 5899.0, 'buy': 5899.0, 'sell': 5899.5, 'mid': 5899.0, 'tickLog': 1, 'pos': 20, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5899.0, 'last_aft': 5899.0, 'atr': 4.975, 'sma': 5894.925}
2019-05-07 13:14:31,350 - INFO - market_maker - run_loop - MarketReport -{'last': 5898.0, 'buy': 5898.0, 'sell': 5898.5, 'mid': 5898.0, 'tickLog': 1, 'pos': 80, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5898.5, 'last_aft': 5898.5, 'atr': 4.975, 'sma': 5894.925}
2019-05-07 13:14:40,627 - INFO - market_maker - run_loop - MarketReport -{'last': 5897.5, 'buy': 5897.5, 'sell': 5898.0, 'mid': 5898.0, 'tickLog': 1, 'pos': 100, 'h_lines': 5905.5, 'l_lines': 5873.5, 'last_bef': 5897.5, 'last_aft': 5897.5, 'atr': 4.975, 'sma': 5894.925}
